"term","estimate","std.error","conf.low","conf.high","p.value","significant"
"(Intercept)",5.16662318431939,2.6400063325471,-0.0632090270642856,10.3964553957031,"0.053",""
"Experience_LevelNovice",0.200324265364677,0.890138770766983,-1.56303378365448,1.96368231438383,"0.822",""
"Experience_LevelProfessional",2.24744658912878,1.8167712517703,-1.35156326781236,5.84645644606991,"0.219",""
"Performance_AnxietyLow",-1.09699177328674,0.712186202414155,-2.507827154994,0.313843608420525,"0.126",""
"Performance_AnxietyMedium",-0.692371672461085,0.497905659114221,-1.678718948285,0.293975603362826,"0.167",""
"Weekly_Practice_Hours",0.0649557307411631,0.0652070753893014,-0.0642189833785826,0.194130444860909,"0.321",""
"Age",-0.00166097454482405,0.0241396099597616,-0.0494813559512554,0.0461594068616073,"0.945",""
"Sleep_Hours",-0.489127601304748,0.180169901622924,-0.846042788746848,-0.132212413862647,"0.008","*"
"Caffeine_Intake",-0.350491608532472,0.130407137500956,-0.60882714352295,-0.0921560735419945,"0.008","*"
"Tour_StatusOn_Tour",1.0445329454915,0.417485767032245,0.21749685648604,1.87156903449696,"0.014","*"
"Performance_Venue_SizeMedium",5.63281659649363,1.57551198012759,2.51173949849205,8.7538936944952,"< 0.001","*"
"Performance_Venue_SizeSmall",4.70057031399571,1.74555619238719,1.24263694119247,8.15850368679896,"0.008","*"
"Medical_HistoryDepression",0.191224170878534,0.425951119004455,-0.652581715183495,1.03503005694056,"0.654",""
"Medical_HistoryNone",1.43871515856662,0.552021062527745,0.345165685378582,2.53226463175465,"0.01","*"
"Medical_HistoryPTSD",0.0774260770613684,0.520106163281203,-0.952900226528499,1.10775238065124,"0.882",""
"TherapyYes",-0.241825788499245,0.488164153533627,-1.20887521679737,0.725223639798877,"0.621",""
