"term","estimate","std.error","conf.low","conf.high","p.value","significant"
"(Intercept)",0.33035673903661,8.11730152494938,-15.7717834227492,16.4324969008224,0.968,""
"Experience_LevelNovice",-2.90585123133012,3.91935868897357,-10.7495701160318,4.93786765337154,0.461,""
"Experience_LevelProfessional",5.14006411085162,3.79201200801401,-2.5992426473127,12.8793708690159,0.185,""
"Performance_AnxietyLow",-3.03070078438014,3.00161396028246,-9.01437831366912,2.95297674490884,0.316,""
"Performance_AnxietyMedium",-0.849749166849068,2.06862965848236,-4.95882139161238,3.25932305791425,0.682,""
"Weekly_Practice_Hours",0.0815835819849734,0.273445000519736,-0.460812200127953,0.623979364097899,0.766,""
"Years_Playing",0.230649026135341,0.115691711091163,0.00115588169626249,0.460142170574419,0.049,"*"
"Medical_HistoryDepression",4.98806656290967,1.73977114427205,1.53677699363513,8.43935613218421,0.005,"*"
"Medical_HistoryNone",0.368440766413607,2.38487752606131,-4.37232463232008,5.10920616514729,0.878,""
"Medical_HistoryPTSD",0.456274871169268,2.03273925889844,-3.57566064369378,4.48821038603232,0.823,""
"TherapyYes",0.900159443041176,2.04849770193162,-3.16338706806606,4.96370595414841,0.661,""
"Heart_Rate",0.0934761738990019,0.0450572439170459,0.00409275552422363,0.18285959227378,0.041,"*"
